23;IB0IB00519*PZ2*14;PZ2;14;20;1;Calvin Klein Jeans;Одежда;Брюки спортивные;50% Хлопок, 50% Полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ТУРЦИЯ;;8273.031;;1;;2;
24;IB0IB00519*PZ2*16;PZ2;16;20;1;Calvin Klein Jeans;Одежда;Брюки спортивные;50% Хлопок, 50% Полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ТУРЦИЯ;;8273.031;;1;;2;
25;IG0IG00605*BEH*8;BEH;8;;2;Calvin Klein Jeans;Одежда;Платье;73% хлопок, 27% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;4;9545.805;;1;;2;
26;IG0IG00605*BEH*10;BEH;10;25;2;Calvin Klein Jeans;Одежда;Платье;73% хлопок, 27% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;;9545.805;;1;;2;
27;IG0IG00605*BEH*12;BEH;12;25;2;Calvin Klein Jeans;Одежда;Платье;73% хлопок, 27% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;;9545.805;;1;;2;
28;IG0IG00605*BEH*14;BEH;14;25;2;Calvin Klein Jeans;Одежда;Платье;73% хлопок, 27% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;;9545.805;;1;;2;
29;IG0IG00605*BEH*16;BEH;16;25;2;Calvin Klein Jeans;Одежда;Платье;73% хлопок, 27% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;;9545.805;;1;;2;
30;IG0IG00605*PZ2*8;PZ2;8;;2;Calvin Klein Jeans;Одежда;Платье;73% хлопок, 27% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;0;9545.805;;1;;2;
31;IG0IG00605*PZ2*10;PZ2;10;30;2;Calvin Klein Jeans;Одежда;Платье;73% хлопок, 27% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;;9545.805;;1;;2;
32;IG0IG00605*PZ2*12;PZ2;12;30;2;Calvin Klein Jeans;Одежда;Платье;73% хлопок, 27% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;;9545.805;;1;;2;
33;IG0IG00605*PZ2*14;PZ2;14;30;2;Calvin Klein Jeans;Одежда;Платье;73% хлопок, 27% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;;9545.805;;1;;2;
34;IG0IG00605*PZ2*16;PZ2;16;30;2;Calvin Klein Jeans;Одежда;Платье;73% хлопок, 27% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;;9545.805;;1;;2;
35;IG0IG00600*TAB*10;TAB;10;;2;Calvin Klein Jeans;Одежда;Платье;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ПОРТУГАЛИЯ;5;10182.192;;1;;2;
36;IG0IG00600*TAB*12;TAB;12;35;2;Calvin Klein Jeans;Одежда;Платье;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ПОРТУГАЛИЯ;;10182.192;;1;;2;
37;IG0IG00600*TAB*14;TAB;14;35;2;Calvin Klein Jeans;Одежда;Платье;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ПОРТУГАЛИЯ;;10182.192;;1;;2;
38;IG0IG00600*TAB*16;TAB;16;35;2;Calvin Klein Jeans;Одежда;Платье;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ПОРТУГАЛИЯ;;10182.192;;1;;2;
39;IG0IG00599*BEH*14;BEH;14;41;2;Calvin Klein Jeans;Одежда;Платье;66% Вискоза, 29% Полиамид, 5% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;;8909.418;;1;;2;
40;IG0IG00599*BEH*16;BEH;16;41;2;Calvin Klein Jeans;Одежда;Платье;66% Вискоза, 29% Полиамид, 5% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;;8909.418;;1;;2;
41;IG0IG00599*BEH*8;BEH;8;;2;Calvin Klein Jeans;Одежда;Платье;66% Вискоза, 29% Полиамид, 5% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;0;8909.418;;1;;2;
42;IG0IG00599*BEH*10;BEH;10;41;2;Calvin Klein Jeans;Одежда;Платье;66% Вискоза, 29% Полиамид, 5% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;;8909.418;;1;;2;
43;IG0IG00599*BEH*12;BEH;12;41;2;Calvin Klein Jeans;Одежда;Платье;66% Вискоза, 29% Полиамид, 5% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;КИТАЙ;;8909.418;;1;;2;
44;IG0IG00559*BEH*8;BEH;8;;2;Calvin Klein Jeans;Одежда;Леггинсы;94% Органический хлопок, 6% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;БАНГЛАДЕШ;5;3818.322;;1;;2;
45;IG0IG00559*BEH*10;BEH;10;44;2;Calvin Klein Jeans;Одежда;Леггинсы;94% Органический хлопок, 6% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;БАНГЛАДЕШ;;3818.322;;1;;2;
46;IG0IG00559*PZ2*8;PZ2;8;;2;Calvin Klein Jeans;Одежда;Леггинсы;94% Органический хлопок, 6% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;БАНГЛАДЕШ;0;3818.322;;1;;2;
