1;IU0IU00140;00-00000003;серебряный;One Size;;3;Calvin Klein;Аксессуары;Сумка кроссовер;100% полиэстер;0;Calvin Klein Europe B.V.;КИТАЙ;0;4 999;0;1,000;Prefall 2020;1;;
2;IG0IG00605;00-00000008;серый;128;;3;Calvin Klein;Одежда;Платье;73% хлопок, 27% полиэстер;0;Calvin Klein Europe B.V.;КИТАЙ;0;9 299;0;1,000;Prefall 2020;1;;
3;IB0IB00347;00-00000014;синий;128;;3;Calvin Klein;Одежда;Футболка с коротким рукавом;100% Органический хлопок;0;Calvin Klein Europe B.V.;ШРИ-ЛАНКА;0;3 148;0;1,000;SS 2021;1;;
4;IG0IG00581;00-00000032;белый;128;;3;Calvin Klein;Одежда;Толстовка-свитшот;100% Органический хлопок;0;Calvin Klein Europe B.V.;ТУРЦИЯ;0;7 999;0;1,000;Prefall 2020;1;;
5;IB0IB00557;00-00000041;желтый;128;;3;Calvin Klein;Верхняя одежда;Куртка пуховая;100% переработанный полиэстер;0;Calvin Klein Europe B.V.;КИТАЙ;0;20 999;0;1,000;Prefall 2020;1;;
6;IB0IB00557;00-00000041;черный;176;;3;Calvin Klein;Верхняя одежда;Куртка пуховая;100% переработанный полиэстер;0;Calvin Klein Europe B.V.;КИТАЙ;0;20 999;0;1,000;Prefall 2020;1;;
7;IG0IG00596;00-00000045;черный;176;;3;Calvin Klein;Верхняя одежда;Куртка;100% полиамид;0;Calvin Klein Europe B.V.;КИТАЙ;0;26 999;0;1,000;Prefall 2020;1;;
8;IB0IB00505;00-00000050;синий;140;;3;Calvin Klein;Одежда;Джинсы слимы;74% Хлопок, 25% Полиэстер, 1% Эластан;0;Calvin Klein Europe B.V.;БАНГЛАДЕШ;0;7 499;0;1,000;Prefall 2020;1;;
9;IB0IB00507;00-00000051;синий;164;;3;Calvin Klein;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;0;Calvin Klein Europe B.V.;БАНГЛАДЕШ;0;7 499;0;1,000;Prefall 2020;1;;
10;IG0IG00546;00-00000053;синий;164;;3;Calvin Klein;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;0;Calvin Klein Europe B.V.;БАНГЛАДЕШ;0;7 499;0;1,000;Prefall 2020;1;;
11;IG0IG00546;00-00000053;синий;176;;3;Calvin Klein;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;0;Calvin Klein Europe B.V.;БАНГЛАДЕШ;0;7 499;0;1,000;Prefall 2020;1;;
12;IG0IG00551;00-00000056;синий;176;;3;Calvin Klein;Одежда;Джинсы скини;98% хлопок, 2% эластан;0;Calvin Klein Europe B.V.;БАНГЛАДЕШ;0;8 499;0;1,000;Prefall 2020;1;;
13;IG0IG00551;00-00000056;синий;128;;3;Calvin Klein;Одежда;Джинсы скини;98% хлопок, 2% эластан;0;Calvin Klein Europe B.V.;БАНГЛАДЕШ;0;8 499;0;1,000;Prefall 2020;1;;
14;IU0IU00125;00-00000059;бежевый;L-XL;;3;Calvin Klein;Аксессуары;Ремень;100% полиэстер;0;HANGZHOU HS FASHION CORPORATION LTD;КИТАЙ;0;2 752;0;1,000;Fall 2021;1;;
15;IU0IU00125;00-00000059;розовый;L-XL;;3;Calvin Klein;Аксессуары;Ремень;100% полиэстер;0;HANGZHOU HS FASHION CORPORATION LTD;КИТАЙ;0;2 752;0;2,000;Fall 2021;1;;
16;IU0IU00125;00-00000059;розовый;L-XL;;3;Calvin Klein;Аксессуары;Ремень;100% полиэстер;0;HANGZHOU HS FASHION CORPORATION LTD;КИТАЙ;0;2 752;0;2,000;Fall 2021;1;;
17;IU0IU00125;00-00000059;розовый;S-M;;3;Calvin Klein;Аксессуары;Ремень;100% полиэстер;0;HANGZHOU HS FASHION CORPORATION LTD;КИТАЙ;0;2 752;0;2,000;Fall 2021;1;;
18;IU0IU00125;00-00000059;розовый;S-M;;3;Calvin Klein;Аксессуары;Ремень;100% полиэстер;0;HANGZHOU HS FASHION CORPORATION LTD;КИТАЙ;0;2 752;0;2,000;Fall 2021;1;;
19;IB0IB00558;00-00000068;черный;152;;3;Calvin Klein;Верхняя одежда;Куртка парка;100% переработанный полиэстер;0;Calvin Klein Europe B.V.;КИТАЙ;0;24 599;0;1,000;Prefall 2020;1;;
20;IB0IB00558;00-00000068;черный;128;;3;Calvin Klein;Верхняя одежда;Куртка парка;100% переработанный полиэстер;0;Calvin Klein Europe B.V.;КИТАЙ;0;24 599;0;2,000;Prefall 2020;1;;
21;IG0IG00594;00-00000072;черный;128;;3;Calvin Klein;Верхняя одежда;Куртка пальто пуховая;100% переработанный полиэстер;0;Calvin Klein Europe B.V.;КИТАЙ;0;24 599;0;1,000;Prefall 2020;1;;
22;KG0KG05198;00-00000121;голубой;164;;3;Tommy Hilfiger;Одежда;Джинсы прямые;98% хлопок, 2% эластан;0;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;8 599;0;1,000;Prefall 2020;1;;
23;KG0KG05198;00-00000121;голубой;176;;3;Tommy Hilfiger;Одежда;Джинсы прямые;98% хлопок, 2% эластан;0;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;8 599;0;1,000;Prefall 2020;1;;
24;KG0KG05192;00-00000139;синий;140;;3;Tommy Hilfiger;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;0;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7 499;0;1,000;Prefall 2020;1;;
25;KG0KG05192;00-00000139;синий;176;;3;Tommy Hilfiger;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;0;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7 499;0;1,000;Prefall 2020;1;;
26;KB0KB05792;00-00000145;голубой;176;;3;Tommy Hilfiger;Одежда;Джинсы скини;72% ХЛОПОК, 20% ПЕРЕРАБОТАННЫЙ ХЛОПОК, 4% ПОЛИЭСТЕР, 4% ЭЛАСТАН;0;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;9 799;0;1,000;Prefall 2020;1;;
27;KB0KB05792;00-00000145;голубой;128;;3;Tommy Hilfiger;Одежда;Джинсы скини;72% ХЛОПОК, 20% ПЕРЕРАБОТАННЫЙ ХЛОПОК, 4% ПОЛИЭСТЕР, 4% ЭЛАСТАН;0;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;9 799;0;1,000;Prefall 2020;1;;
28;9CCURU-038-31-34;00-00000215;джинс меланж;31-34;;3;Норвег;Носки;Climate Control Носки;61 % шерсть мериносов, 40% поликолон (РР);0;Норвег;;0;878;0;2,000;Fall 2020;1;;
29;4CCU003RU-014-128-134;00-00000227;серый меланж;128-134;;3;Норвег;Термобельё;Climate Control Штанишки детские;100% шерсть мериносов;0;Норвег;;0;3 056;0;1,000;Fall 2020;1;;
30;9CRCURU-192-31-34;00-00000235; коричневый + оранжевый;31-34;;3;Норвег;Носки;Cross Country Носки детские;80% шерсть мериносов, 10% полиамид, 7% полипропилен, 3% лайкра;0;Норвег;;0;916;0;1,000;Fall 2020;1;;
31;9CRCURU-192-35-38;00-00000236; коричневый + оранжевый;35-38;;3;Норвег;Носки;Cross Country Носки детские;80% шерсть мериносов, 10% полиамид, 7% полипропилен, 3% лайкра;0;Норвег;;0;916;0;1,000;Fall 2020;1;;
32;9CRCURU-172-35-38;00-00000238; серый-лайм;35-38;;3;Норвег;Носки;Cross Country Носки детские;80% шерсть мериносов, 10% полиамид, 7% полипропилен, 3% лайкра;0;Норвег;;0;916;0;2,000;Fall 2020;1;;
33;9DFURU-185-31-34;00-00000239;черный с серой полосой;31-34;;3;Норвег;Носки;Dry Feet Носки детские;60% шерсть мериносов, 37% поликолон (РР), 3% лайкра;0;Норвег;;0;916;0;1,000;Fall 2020;1;;
34;9ICSURU-011-31-34;00-00000241;Молочный;31-34;;3;Норвег;Носки;Ice skating Носки детские для коньков;60% шерсть мериносов, 30% поликолон (РР), 7% полиамид, 3% лайкра;0;Норвег;;0;916;0;1,000;Fall 2020;1;;
35;9ICSURU-011-35-38;00-00000242;Молочный;35-38;;3;Норвег;Носки;Ice skating Носки детские для коньков;60% шерсть мериносов, 30% поликолон (РР), 7% полиамид, 3% лайкра;0;Норвег;;0;916;0;2,000;Fall 2020;1;;
36;9WURU-001-31-34;00-00000243;белый;31-34;;3;Норвег;Носки;Merino Wool Носки детские;87% шерсть мериносов, 10% полиэстер, 3% эластан;0;Норвег;;0;522;0;2,000;Fall 2020;1;;
37;9WURU-018-31-34;00-00000245;коричневый;31-34;;3;Норвег;Носки;Merino Wool Носки детские;87% шерсть мериносов, 10% полиэстер, 3% эластан;0;Норвег;;0;522;0;2,000;Fall 2020;1;;
