id;articule;code;colorcode;size;isfirstsize;gender;brand;group;item;consist;provider;manufacturer;country;hasimage;price;count;year;season;description
432;KB0KB05783-1BJ-14;KB0KB05783;1BJ;14;0;B;Tommy Hilfiger;Одежда;Джинсы слимы;74% Хлопок, 25% Полиэстер, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7636.64;1;2020;2;
433;KB0KB05810-YBR-14;KB0KB05810;YBR;14;0;B;Tommy Hilfiger;Одежда;Толстовка на молнии;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУРЦИЯ;0;10182.19;1;2020;2;
434;KB0KB05825-C4X-12;KB0KB05825;C4X;12;0;B;Tommy Hilfiger;Одежда;Рубашка с длинным рукавом;100% хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;10818.58;1;2020;2;
435;KB0KB05844-ZIO-14;KB0KB05844;ZIO;14;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;3181.94;1;2020;2;
436;KB0KB05884-L57-8;KB0KB05884;L57;8;1;B;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;20283.68;1;2020;2;
437;KB0KB05833-XNL-12;KB0KB05833;XNL;12;0;B;Tommy Hilfiger;Одежда;Поло с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;7636.64;1;2020;2;
438;KG0KG05251-XNL-12;KG0KG05251;XNL;12;0;G;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;5091.10;1;2020;2;
439;KB0KB05854-C4X-16;KB0KB05854;C4X;16;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;5091.10;1;2020;2;
440;KG0KG05269-C87-12;KG0KG05269;C87;12;0;G;Tommy Hilfiger;Верхняя одежда;Куртка пальто;67% хлопок, 33% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
441;KB0KB05784-1A4-10;KB0KB05784;1A4;10;0;B;Tommy Hilfiger;Одежда;Джинсы прямые;74% Хлопок, 25% Полиэстер, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7636.64;1;2020;2;
442;KG0KG05265-PE6-8;KG0KG05265;PE6;8;1;G;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;21556.46;1;2020;2;
443;KG0KG05332-YBR-16;KG0KG05332;YBR;16;0;G;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;50% ОРГАНИЧЕСКИЙ ХЛОПОК, 47% ПОЛИЭСТЕР, 3% ПОЛИАМИД;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУРЦИЯ;0;4454.71;1;2020;2;
444;KB0KB05848-XNL-12;KB0KB05848;XNL;12;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;4454.71;1;2020;2;
445;KB0KB05864-C87-8;KB0KB05864;C87;8;1;B;Tommy Hilfiger;Одежда;Брюки спортивные;65% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР, 5% ЭЛАСТАН;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;7636.64;1;2020;2;
446;KB0KB05786-1BK-12;KB0KB05786;1BK;12;0;B;Tommy Hilfiger;Одежда;Джинсы слимы;79% Хлопок, 20% Переработанный хлопок, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУНИС;0;8909.42;1;2020;2;
447;KG0KG05251-C87-12;KG0KG05251;C87;12;0;G;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;5091.10;1;2020;2;
448;KB0KB05848-C4X-10;KB0KB05848;C4X;10;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;4454.71;1;2020;2;
449;KB0KB05853-XNL-14;KB0KB05853;XNL;14;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУРЦИЯ;0;5727.48;1;2020;2;
450;KG0KG05282-C87-14;KG0KG05282;C87;14;0;G;Tommy Hilfiger;Одежда;Платье;95% органический хлопок, 5% эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;10818.58;1;2020;2;
451;KB0KB05883-XNL-16;KB0KB05883;XNL;16;0;B;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
452;KB0KB05883-XNL-12;KB0KB05883;XNL;12;0;B;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
453;KB0KB05885-C87-10;KB0KB05885;C87;10;0;B;Tommy Hilfiger;Верхняя одежда;Куртка бомбер;67% хлопок, 33% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
454;KB0KB05883-C4X-14;KB0KB05883;C4X;14;0;B;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
455;KB0KB05911-C87-8;KB0KB05911;C87;8;1;B;Tommy Hilfiger;Одежда;Брюки;97% хлопок, 3% эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ШРИ-ЛАНКА;0;8909.42;1;2020;2;
456;KB0KB05796-L3V-16;KB0KB05796;L3V;16;0;B;Tommy Hilfiger;Одежда;Толстовка c капюшоном;65% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР, 5% ЭЛАСТАН;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;8273.03;1;2020;2;
457;KB0KB05803-YBR-10;KB0KB05803;YBR;10;0;B;Tommy Hilfiger;Одежда;Толстовка-свитшот;70% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;8909.42;1;2020;2;
458;KG0KG05332-YBR-14;KG0KG05332;YBR;14;0;G;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;50% ОРГАНИЧЕСКИЙ ХЛОПОК, 47% ПОЛИЭСТЕР, 3% ПОЛИАМИД;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУРЦИЯ;0;4454.71;1;2020;2;
459;KG0KG05251-XNL-14;KG0KG05251;XNL;14;0;G;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;5091.10;1;2020;2;
460;KB0KB05844-ZIO-12;KB0KB05844;ZIO;12;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;3181.94;1;2020;2;
461;KG0KG05199-1BJ-14;KG0KG05199;1BJ;14;0;G;Tommy Hilfiger;Одежда;Джинсы клеш;79% Хлопок, 20% Переработанный хлопок, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУНИС;0;10182.19;1;2020;2;
462;KG0KG05265-XNL-12;KG0KG05265;XNL;12;0;G;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;21556.46;1;2020;2;
463;KB0KB05803-YBR-16;KB0KB05803;YBR;16;0;B;Tommy Hilfiger;Одежда;Толстовка-свитшот;70% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;8909.42;1;2020;2;
464;KB0KB05864-C87-14;KB0KB05864;C87;14;0;B;Tommy Hilfiger;Одежда;Брюки спортивные;65% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР, 5% ЭЛАСТАН;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;7636.64;1;2020;2;
465;KB0KB05884-L57-12;KB0KB05884;L57;12;0;B;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;20283.68;1;2020;2;
466;KS0KS00129-L57-16;KS0KS00129;L57;16;0;U;Tommy Hilfiger;Верхняя одежда;Куртка бомбер;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;24102.00;1;2020;2;
467;KB0KB05860-0GY-16;KB0KB05860;0GY;16;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;5091.10;1;2020;2;
468;KS0KS00129-YBR-12;KS0KS00129;YBR;12;0;U;Tommy Hilfiger;Верхняя одежда;Куртка бомбер;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;24102.00;1;2020;2;
469;KB0KB05853-YBR-8;KB0KB05853;YBR;8;1;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУРЦИЯ;0;5727.48;1;2020;2;
470;KG0KG05265-PE6-12;KG0KG05265;PE6;12;0;G;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;21556.46;1;2020;2;
471;KB0KB05848-XNL-14;KB0KB05848;XNL;14;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;4454.71;1;2020;2;
472;KG0KG05315-1BJ-8;KG0KG05315;1BJ;8;1;G;Tommy Hilfiger;Одежда;Юбка;74% Хлопок, 25% Полиэстер, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7636.64;1;2020;2;
473;KB0KB05883-C4X-10;KB0KB05883;C4X;10;0;B;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
474;KB0KB05805-C87-8;KB0KB05805;C87;8;1;B;Tommy Hilfiger;Одежда;Толстовка-свитшот;70% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;9545.81;1;2020;2;
475;KB0KB05864-P6U-8;KB0KB05864;P6U;8;1;B;Tommy Hilfiger;Одежда;Брюки спортивные;65% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР, 5% ЭЛАСТАН;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;7636.64;1;2020;2;
476;KB0KB05803-YBR-8;KB0KB05803;YBR;8;1;B;Tommy Hilfiger;Одежда;Толстовка-свитшот;70% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;8909.42;1;2020;2;
477;KB0KB05796-L3V-14;KB0KB05796;L3V;14;0;B;Tommy Hilfiger;Одежда;Толстовка c капюшоном;65% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР, 5% ЭЛАСТАН;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;8273.03;1;2020;2;
478;KG0KG05262-C87-16;KG0KG05262;C87;16;0;G;Tommy Hilfiger;Верхняя одежда;Куртка ветровка;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;12727.74;1;2020;2;
479;KB0KB05911-C87-14;KB0KB05911;C87;14;0;B;Tommy Hilfiger;Одежда;Брюки;97% хлопок, 3% эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ШРИ-ЛАНКА;0;8909.42;1;2020;2;
480;KS0KS00129-YBR-14;KS0KS00129;YBR;14;0;U;Tommy Hilfiger;Верхняя одежда;Куртка бомбер;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;24102.00;1;2020;2;
481;KB0KB05803-YBR-12;KB0KB05803;YBR;12;0;B;Tommy Hilfiger;Одежда;Толстовка-свитшот;70% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;8909.42;1;2020;2;
482;KG0KG05326-C87-16;KG0KG05326;C87;16;0;G;Tommy Hilfiger;Верхняя одежда;Куртка пальто;65% ПОЛИЭСТЕР, 35% ПЕРЕРАБОТАННЫЙ ПОЛИЭСТЕР;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
483;KG0KG05282-C87-16;KG0KG05282;C87;16;0;G;Tommy Hilfiger;Одежда;Платье;95% органический хлопок, 5% эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;10818.58;1;2020;2;
484;KB0KB05825-C4X-16;KB0KB05825;C4X;16;0;B;Tommy Hilfiger;Одежда;Рубашка с длинным рукавом;100% хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;10818.58;1;2020;2;
485;KG0KG05192-1BJ-10;KG0KG05192;1BJ;10;1;G;Tommy Hilfiger;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7636.64;1;2020;2;
486;KB0KB05784-1A4-12;KB0KB05784;1A4;12;0;B;Tommy Hilfiger;Одежда;Джинсы прямые;74% Хлопок, 25% Полиэстер, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7636.64;1;2020;2;
487;KG0KG05251-XNL-10;KG0KG05251;XNL;10;0;G;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;5091.10;1;2020;2;
488;KB0KB05848-C4X-14;KB0KB05848;C4X;14;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;4454.71;1;2020;2;
489;KB0KB05853-XNL-10;KB0KB05853;XNL;10;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУРЦИЯ;0;5727.48;1;2020;2;
490;KG0KG05265-PE6-10;KG0KG05265;PE6;10;0;G;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;21556.46;1;2020;2;
491;KG0KG05251-C87-8;KG0KG05251;C87;8;1;G;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;5091.10;1;2020;2;
492;KB0KB05848-XNL-16;KB0KB05848;XNL;16;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;4454.71;1;2020;2;
493;KB0KB05854-C4X-10;KB0KB05854;C4X;10;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;5091.10;1;2020;2;
494;KB0KB05883-XNL-8;KB0KB05883;XNL;8;1;B;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
495;KB0KB05784-1A4-8;KB0KB05784;1A4;8;1;B;Tommy Hilfiger;Одежда;Джинсы прямые;74% Хлопок, 25% Полиэстер, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7636.64;1;2020;2;
496;KB0KB05792-1A5-16;KB0KB05792;1A5;16;0;B;Tommy Hilfiger;Одежда;Джинсы скини;72% ХЛОПОК, 20% ПЕРЕРАБОТАННЫЙ ХЛОПОК, 4% ПОЛИЭСТЕР, 4% ЭЛАСТАН;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУНИС;0;10182.19;1;2020;2;
497;KG0KG05219-XNL-10;KG0KG05219;XNL;10;0;G;Tommy Hilfiger;Одежда;Толстовка c капюшоном;90% органический хлопок, 10% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;10182.19;1;2020;2;
498;KB0KB05792-1A5-12;KB0KB05792;1A5;12;0;B;Tommy Hilfiger;Одежда;Джинсы скини;72% ХЛОПОК, 20% ПЕРЕРАБОТАННЫЙ ХЛОПОК, 4% ПОЛИЭСТЕР, 4% ЭЛАСТАН;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУНИС;0;10182.19;1;2020;2;
499;KB0KB05864-C87-16;KB0KB05864;C87;16;0;B;Tommy Hilfiger;Одежда;Брюки спортивные;65% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР, 5% ЭЛАСТАН;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;7636.64;1;2020;2;
500;KB0KB05796-L3V-12;KB0KB05796;L3V;12;0;B;Tommy Hilfiger;Одежда;Толстовка c капюшоном;65% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР, 5% ЭЛАСТАН;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;8273.03;1;2020;2;
501;KG0KG05219-XNL-14;KG0KG05219;XNL;14;0;G;Tommy Hilfiger;Одежда;Толстовка c капюшоном;90% органический хлопок, 10% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;10182.19;1;2020;2;
502;KG0KG05282-C87-10;KG0KG05282;C87;10;0;G;Tommy Hilfiger;Одежда;Платье;95% органический хлопок, 5% эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;10818.58;1;2020;2;
503;KB0KB05792-1A5-14;KB0KB05792;1A5;14;0;B;Tommy Hilfiger;Одежда;Джинсы скини;72% ХЛОПОК, 20% ПЕРЕРАБОТАННЫЙ ХЛОПОК, 4% ПОЛИЭСТЕР, 4% ЭЛАСТАН;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУНИС;0;10182.19;1;2020;2;
504;KG0KG05199-1BJ-10;KG0KG05199;1BJ;10;0;G;Tommy Hilfiger;Одежда;Джинсы клеш;79% Хлопок, 20% Переработанный хлопок, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУНИС;0;10182.19;1;2020;2;
505;KG0KG05326-C87-14;KG0KG05326;C87;14;0;G;Tommy Hilfiger;Верхняя одежда;Куртка пальто;65% ПОЛИЭСТЕР, 35% ПЕРЕРАБОТАННЫЙ ПОЛИЭСТЕР;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
506;KG0KG05262-C87-14;KG0KG05262;C87;14;0;G;Tommy Hilfiger;Верхняя одежда;Куртка ветровка;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;12727.74;1;2020;2;
507;KB0KB05907-YBR-8;KB0KB05907;YBR;8;1;B;Tommy Hilfiger;Одежда;Поло с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7636.64;1;2020;2;
508;KB0KB05883-C4X-12;KB0KB05883;C4X;12;0;B;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
509;KG0KG05199-1BJ-8;KG0KG05199;1BJ;8;1;G;Tommy Hilfiger;Одежда;Джинсы клеш;79% Хлопок, 20% Переработанный хлопок, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУНИС;0;10182.19;1;2020;2;
510;KB0KB05825-C4X-10;KB0KB05825;C4X;10;0;B;Tommy Hilfiger;Одежда;Рубашка с длинным рукавом;100% хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;10818.58;1;2020;2;
511;KB0KB05864-C87-10;KB0KB05864;C87;10;0;B;Tommy Hilfiger;Одежда;Брюки спортивные;65% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР, 5% ЭЛАСТАН;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;7636.64;1;2020;2;
512;KB0KB05883-C4X-8;KB0KB05883;C4X;8;1;B;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
513;KG0KG05315-1BJ-12;KG0KG05315;1BJ;12;0;G;Tommy Hilfiger;Одежда;Юбка;74% Хлопок, 25% Полиэстер, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7636.64;1;2020;2;
514;KB0KB05786-1BK-10;KB0KB05786;1BK;10;0;B;Tommy Hilfiger;Одежда;Джинсы слимы;79% Хлопок, 20% Переработанный хлопок, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУНИС;0;8909.42;1;2020;2;
515;KB0KB05825-C4X-14;KB0KB05825;C4X;14;0;B;Tommy Hilfiger;Одежда;Рубашка с длинным рукавом;100% хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;10818.58;1;2020;2;
516;KB0KB05814-C87-8;KB0KB05814;C87;8;1;B;Tommy Hilfiger;Одежда;Свитер;100% хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;11454.97;1;2020;2;
517;KG0KG05332-YBR-12;KG0KG05332;YBR;12;0;G;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;50% ОРГАНИЧЕСКИЙ ХЛОПОК, 47% ПОЛИЭСТЕР, 3% ПОЛИАМИД;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУРЦИЯ;0;4454.71;1;2020;2;
518;KG0KG05269-C87-10;KG0KG05269;C87;10;0;G;Tommy Hilfiger;Верхняя одежда;Куртка пальто;67% хлопок, 33% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
519;KB0KB05854-C4X-14;KB0KB05854;C4X;14;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;5091.10;1;2020;2;
520;KG0KG05269-C87-14;KG0KG05269;C87;14;0;G;Tommy Hilfiger;Верхняя одежда;Куртка пальто;67% хлопок, 33% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
521;KB0KB05853-XNL-16;KB0KB05853;XNL;16;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУРЦИЯ;0;5727.48;1;2020;2;
522;KB0KB05783-1BJ-8;KB0KB05783;1BJ;8;1;B;Tommy Hilfiger;Одежда;Джинсы слимы;74% Хлопок, 25% Полиэстер, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7636.64;1;2020;2;
523;KB0KB05848-XNL-8;KB0KB05848;XNL;8;1;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;4454.71;1;2020;2;
524;KG0KG05265-PE6-14;KG0KG05265;PE6;14;0;G;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;21556.46;1;2020;2;
