id;articule;code;colorcode;size;isfirstsize;gender;brand;group;item;consist;provider;manufacturer;country;hasimage;price;count;year;season;description
359;KB0KB05850-YBR-12;KB0KB05850;YBR;12;0;B;Tommy Hilfiger;Одежда;Футболка с длинным рукавом;100% хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;5727.48;1;2020;2;
360;KG0KG05219-XNL-12;KG0KG05219;XNL;12;0;G;Tommy Hilfiger;Одежда;Толстовка c капюшоном;90% органический хлопок, 10% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;10182.19;1;2020;2;
361;KG0KG05326-C87-12;KG0KG05326;C87;12;0;G;Tommy Hilfiger;Верхняя одежда;Куртка пальто;65% ПОЛИЭСТЕР, 35% ПЕРЕРАБОТАННЫЙ ПОЛИЭСТЕР;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
362;KB0KB05783-1BJ-12;KB0KB05783;1BJ;12;0;B;Tommy Hilfiger;Одежда;Джинсы слимы;74% Хлопок, 25% Полиэстер, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7636.64;1;2020;2;
363;KG0KG05199-1BJ-16;KG0KG05199;1BJ;16;0;G;Tommy Hilfiger;Одежда;Джинсы клеш;79% Хлопок, 20% Переработанный хлопок, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУНИС;0;10182.19;1;2020;2;
364;KB0KB05907-YBR-16;KB0KB05907;YBR;16;0;B;Tommy Hilfiger;Одежда;Поло с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7636.64;1;2020;2;
365;KB0KB05911-C87-12;KB0KB05911;C87;12;0;B;Tommy Hilfiger;Одежда;Брюки;97% хлопок, 3% эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ШРИ-ЛАНКА;0;8909.42;1;2020;2;
366;KB0KB05885-C87-16;KB0KB05885;C87;16;0;B;Tommy Hilfiger;Верхняя одежда;Куртка бомбер;67% хлопок, 33% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
367;KG0KG05262-C87-10;KG0KG05262;C87;10;0;G;Tommy Hilfiger;Верхняя одежда;Куртка ветровка;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;12727.74;1;2020;2;
368;KS0KS00129-L57-10;KS0KS00129;L57;10;0;U;Tommy Hilfiger;Верхняя одежда;Куртка бомбер;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;24102.00;1;2020;2;
369;KG0KG05251-XNL-16;KG0KG05251;XNL;16;0;G;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;5091.10;1;2020;2;
370;KB0KB05844-ZIO-10;KB0KB05844;ZIO;10;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;3181.94;1;2020;2;
371;KB0KB05805-C87-12;KB0KB05805;C87;12;0;B;Tommy Hilfiger;Одежда;Толстовка-свитшот;70% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;9545.81;1;2020;2;
372;KG0KG05265-XNL-10;KG0KG05265;XNL;10;0;G;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;21556.46;1;2020;2;
373;KB0KB05860-0GY-14;KB0KB05860;0GY;14;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;5091.10;1;2020;2;
374;KG0KG05265-PE6-16;KG0KG05265;PE6;16;0;G;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;21556.46;1;2020;2;
375;KB0KB05860-0GY-8;KB0KB05860;0GY;8;1;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;5091.10;1;2020;2;
376;KB0KB05784-1A4-16;KB0KB05784;1A4;16;0;B;Tommy Hilfiger;Одежда;Джинсы прямые;74% Хлопок, 25% Полиэстер, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7636.64;1;2020;2;
377;KG0KG05198-1A6-8;KG0KG05198;1A6;8;1;G;Tommy Hilfiger;Одежда;Джинсы прямые;98% хлопок, 2% эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУНИС;0;8909.42;1;2020;2;
378;KB0KB05810-YBR-8;KB0KB05810;YBR;8;1;B;Tommy Hilfiger;Одежда;Толстовка на молнии;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУРЦИЯ;0;10182.19;1;2020;2;
379;KB0KB05786-1BK-16;KB0KB05786;1BK;16;0;B;Tommy Hilfiger;Одежда;Джинсы слимы;79% Хлопок, 20% Переработанный хлопок, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУНИС;0;8909.42;1;2020;2;
